"filename", "language", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_dashboard_content\usrmngmnt_modal\dialog_usermanagement.vue", "Vue", 0, 0, 0, 0, 1, 1
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_nav.vue", "Vue", 174, 0, 0, 2, 4, 180
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\admin_dashboard\admin_side.vue", "Vue", 448, 0, 0, 6, 53, 507
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\carousel\carousel.vue", "Vue", 256, 0, 0, 3, 25, 284
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier.css", "CSS", 0, 0, 88, 1, 0, 89
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier_index_content.vue", "Vue", 1134, 0, 0, 19, 46, 1199
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\cashier_list_product_added\cashier_list_products.vue", "Vue", 62, 0, 0, 0, 5, 67
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashier_dashboard_content\customer_order_list\customerTB.vue", "Vue", 773, 0, 0, 1, 47, 821
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashiernavbar.vue", "Vue", 174, 0, 0, 0, 15, 189
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\cashier_components\cashiersidebar.vue", "Vue", 59, 0, 0, 0, 19, 78
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\content\content.vue", "Vue", 2, 0, 0, 0, 2, 4
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\footer.vue", "Vue", 14, 0, 0, 0, 2, 16
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\forgot_content.vue", "Vue", 77, 0, 0, 0, 3, 80
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\lockAccount\nav.vue", "Vue", 8, 0, 0, 0, 3, 11
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\nav.vue", "Vue", 381, 0, 0, 8, 18, 407
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\account_verification.vue", "Vue", 19, 0, 0, 0, 1, 20
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\customer_contact_details.vue", "Vue", 53, 0, 0, 0, 1, 54
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\customer_location.vue", "Vue", 107, 0, 0, 1, 1, 109
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\finish.vue", "Vue", 14, 0, 0, 0, 0, 14
"d:\Documents\Capstonefrontend\frontend_capstone\src\components\steps_content\personal.vue", "Vue", 31, 0, 0, 0, 5, 36
"d:\Documents\Capstonefrontend\frontend_capstone\src\config\facebook_oAuth.js", "JavaScript", 0, 18, 0, 0, 1, 19
"d:\Documents\Capstonefrontend\frontend_capstone\src\config\google_oAuth.js", "JavaScript", 0, 133, 0, 3, 10, 146
"d:\Documents\Capstonefrontend\frontend_capstone\src\config\utils.js", "JavaScript", 0, 18, 0, 12, 1, 31
"d:\Documents\Capstonefrontend\frontend_capstone\src\main.js", "JavaScript", 0, 63, 0, 6, 9, 78
"d:\Documents\Capstonefrontend\frontend_capstone\src\pos.css", "CSS", 0, 0, 69, 5, 26, 100
"d:\Documents\Capstonefrontend\frontend_capstone\src\router\index.js", "JavaScript", 0, 169, 0, 0, 7, 176
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\0AuthRequest.js", "JavaScript", 0, 8, 0, 1, 1, 10
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\handler.js", "JavaScript", 0, 10, 0, 0, 3, 13
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\index.js", "JavaScript", 0, 506, 0, 0, 4, 510
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\addqty.js", "JavaScript", 0, 108, 0, 0, 5, 113
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\buy1take1.js", "JavaScript", 0, 49, 0, 0, 7, 56
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\customerOrders.js", "JavaScript", 0, 21, 0, 0, 5, 26
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\salesEntry.js", "JavaScript", 0, 24, 0, 0, 3, 27
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\modules\totalprice.js", "JavaScript", 0, 23, 0, 0, 4, 27
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\request-common.js", "JavaScript", 0, 725, 0, 334, 204, 1263
"d:\Documents\Capstonefrontend\frontend_capstone\src\store\types.js", "JavaScript", 0, 25, 0, 4, 8, 37
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\aboutus.vue", "Vue", 215, 0, 0, 0, 21, 236
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\admin.vue", "Vue", 322, 0, 0, 14, 36, 372
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\adminIndex.vue", "Vue", 30, 0, 0, 0, 3, 33
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_add_inventory.vue", "Vue", 460, 0, 0, 0, 33, 493
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_category.vue", "Vue", 32, 0, 0, 0, 3, 35
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_discount.vue", "Vue", 30, 0, 0, 0, 2, 32
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_excel.vue", "Vue", 34, 0, 0, 0, 3, 37
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_histories.vue", "Vue", 30, 0, 0, 0, 4, 34
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_inventory.vue", "Vue", 39, 0, 0, 1, 4, 44
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_inventory_reports.vue", "Vue", 30, 0, 0, 0, 7, 37
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_more_settings.vue", "Vue", 32, 0, 0, 0, 3, 35
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_activation.vue", "Vue", 31, 0, 0, 0, 2, 33
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_bundle.vue", "Vue", 30, 0, 0, 0, 2, 32
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_product_final.vue", "Vue", 30, 0, 0, 0, 2, 32
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_profile_management.vue", "Vue", 37, 0, 0, 0, 4, 41
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_purchase_order.vue", "Vue", 32, 0, 0, 0, 3, 35
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_received_order.vue", "Vue", 32, 0, 0, 0, 3, 35
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_return_orders.vue", "Vue", 30, 0, 0, 0, 2, 32
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_sales.vue", "Vue", 30, 0, 0, 0, 2, 32
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_stock_on_hand.vue", "Vue", 30, 0, 0, 0, 3, 33
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_supplier.vue", "Vue", 32, 0, 0, 0, 3, 35
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\admin\dashboard_content\admin_user_management.vue", "Vue", 30, 0, 0, 0, 3, 33
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\cashier\cashier.vue", "Vue", 35, 0, 0, 0, 1, 36
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\cashier\cashier_dashboard_content\cashierIndex.vue", "Vue", 31, 0, 0, 0, 2, 33
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\forgot.vue", "Vue", 158, 0, 0, 0, 1, 159
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\index.vue", "Vue", 42, 0, 0, 0, 5, 47
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\lockaccount.vue", "Vue", 357, 0, 0, 0, 5, 362
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\login.vue", "Vue", 0, 0, 0, 0, 1, 1
"d:\Documents\Capstonefrontend\frontend_capstone\src\views\registration.vue", "Vue", 291, 0, 0, 15, 10, 316
"Total", "-", 13890, 1900, 157, 4121, 1057, 21125
